name,serving_size,calories,protein,carbohydrate,total_fat
"Turkey, roasted, cooked, with added solution, meat and skin, dark meat from whole",100 g,199,25.55 g,0.00 g,11g
"Lamb, raw, separable lean and fat, bone-in, leg chop/steak, imported, New Zealand",100 g,206,18.64 g,0.13 g,15g
"Cereals, no salt, prepared with water, QUAKER/MOTHER'S Oat Bran, Oat Bran, QUAKER",100 g,43,2.03 g,7.49 g,1g
"Infant formula, with ARA and DHA, powder, PROSOBEE LIPIL, NEXT STEP, MEAD JOHNSON",100 g,480,15.60 g,57.10 g,21g
"Apple juice, with added ascorbic acid, undiluted, unsweetened, frozen concentrate",100 g,166,0.51 g,41.00 g,0.4g
"PREGO Pasta, ready-to-serve, Onion and Garlic Italian Sauce, Chunky Garden Tomato",100 g,72,1.60 g,10.40 g,2.4g
"Soymilk, vitamins A and D, with added calcium, light, chocolate and other flavors",100 g,47,2.10 g,8.24 g,0.6g
"Infant formula, with ARA and DHA, powder, with iron, LIPIL, ENFAMIL, MEAD JOHNSON",100 g,511,10.80 g,56.20 g,27g
"Snacks, salted, made with partially hydrogenated soybean oil, plain, potato chips",100 g,536,7.00 g,52.90 g,35g
"Corn, without salt, drained, boiled, cooked, kernels on cob, frozen, white, sweet",100 g,94,3.11 g,22.33 g,0.7g
"Pork, raw, separable lean and fat, blade (steaks), (Boston butt), shoulder, fresh",100 g,186,17.42 g,0.00 g,12g
"Beef, raw, choice, trimmed to 1/8"" fat, separable lean only, arm pot roast, chuck",100 g,139,21.96 g,0.00 g,5.1g
"Beef, raw, select, trimmed to 1/8"" fat, separable lean only, arm pot roast, chuck",100 g,125,22.26 g,0.00 g,3.3g
"Pork, pan-fried, cooked, separable lean only, bone-in, blade (chops), loin, fresh",100 g,222,26.38 g,0.00 g,12g
"Infant formula, ready-to-feed, DHA and ARA, with iron, GOOD START SUPREME, NESTLE",100 g,66,1.45 g,7.39 g,3.4g
"Chicken, braised, cooked, meat and skin, drumstick, dark meat, broilers or fryers",100 g,187,22.72 g,0.00 g,11g
"Seeds, from roasted and toasted kernels (most common type), tahini, sesame butter",100 g,595,17.00 g,21.19 g,54g
"Grape juice, with added ascorbic acid and calcium, unsweetened, canned or bottled",100 g,62,0.37 g,14.77 g,0.1g
"Pork, unheated, separable lean and fat, bone-in, slice, ham -- water added, cured",100 g,164,15.73 g,1.10 g,11g
"KFC, skin and breading removed, meat only, Breast, ORIGINAL RECIPE, Fried Chicken",100 g,149,26.89 g,0.00 g,4.6g
"Beef, boiled, cooked, heart, variety meats and by-products, imported, New Zealand",100 g,179,31.29 g,0.00 g,6g
"Beef, raw, choice, trimmed to 1/8"" fat, separable lean and fat, steak, tenderloin",100 g,246,19.82 g,0.00 g,18g
"Beef, raw, select, trimmed to 1/8"" fat, separable lean and fat, steak, tenderloin",100 g,249,19.37 g,0.00 g,18g
"CAMPBELL'S Red and White, condensed, GOLDFISH Pasta with Chicken in Chicken Broth",100 g,63,2.38 g,9.52 g,1.6g
"Beverages, not fortified with vitamin C, less than 3% juice, Fruit flavored drink",100 g,64,0.00 g,16.03 g,0g
"Pork, separable lean only, unheated, bone-in, shank, ham and water product, cured",100 g,113,17.53 g,1.20 g,4.2g
"Pork, unheated, separable lean only, bone-in, slice, ham and water product, cured",100 g,103,14.47 g,2.82 g,3.8g
"Infant formula, with ARA and DHA, powder, GO AND GROW, SIMILAC, ABBOTT NUTRITION",100 g,512,15.36 g,52.20 g,28g
"KELLOGG'S, Ice Cream Shoppe Frosted Hot Fudge Sundae Toaster Pastries, POP-TARTS",100 g,391,4.40 g,69.80 g,11g
"Creamy dressing, reduced calorie, made with sour cream and/or buttermilk and oil",100 g,160,1.50 g,7.00 g,14g
"Lamb, raw, choice, trimmed to 1/4"" fat, separable lean only, foreshank, domestic",100 g,120,21.08 g,0.00 g,3.3g
"Lima beans, with salt, drained, boiled, cooked, fordhook, frozen, immature seeds",100 g,103,6.07 g,19.32 g,0.3g
"Lamb, braised, cooked, separable lean and fat, fore-shank, imported, New Zealand",100 g,256,30.35 g,0.03 g,15g
"Potatoes, whole milk and margarine, without milk, prepared from granules, mashed",100 g,108,2.05 g,14.40 g,4.9g
"Pork, roasted, cooked, separable lean only, bone-in, blade (roasts), loin, fresh",100 g,217,25.70 g,0.00 g,12g
"Beef, raw, select, trimmed to 1/8"" fat, separable lean and fat, tip round, round",100 g,178,19.74 g,0.00 g,10g
"Beef, raw, choice, trimmed to 1/8"" fat, separable lean and fat, tip round, round",100 g,199,19.48 g,0.00 g,13g
"Chickpeas (garbanzo beans, bengal gram), with salt, boiled, cooked, mature seeds",100 g,164,8.86 g,27.42 g,2.6g
"Pork, raw, separable lean only, boneless, sirloin (chops or roasts), loin, fresh",100 g,121,22.81 g,0.00 g,2.6g
"English muffins, with calcium propionate (includes sourdough), unenriched, plain",100 g,235,7.70 g,46.00 g,1.8g
"English muffins, without calcium propionate(includes sourdough), enriched, plain",100 g,235,7.70 g,46.00 g,1.8g
"Oil, high oleic (primary safflower oil of commerce), salad or cooking, safflower",100 g,884,0.00 g,0.00 g,100g
"Infant formula, with ARA and DHA, powder, For Spit Up, SIMILAC, ABBOTT NUTRITION",100 g,514,11.00 g,55.00 g,28g
"Pork, broiled, cooked, separable lean and fat, boneless, petite tender, shoulder",100 g,155,27.47 g,0.00 g,4.2g
"Beef, boiled, tripe cooked, variety meats and by-products, imported, New Zealand",100 g,103,19.00 g,0.00 g,3g
"Beef, boiled, cooked, variety meats and by-products liver, imported, New Zealand",100 g,150,23.30 g,3.78 g,4.7g
"Lamb, braised, cooked, separable lean and fat, neck chops, imported, New Zealand",100 g,307,28.53 g,0.03 g,21g
"Beverages, powder, lemon-flavored, sweetened with sodium saccharin, instant, tea",100 g,338,3.30 g,85.40 g,0.6g
"Infant formula, not reconstituted, liquid concentrate, store brand, PBM PRODUCTS",100 g,130,2.90 g,13.90 g,7g
"Lamb, braised, cooked, separable lean and fat, hind-shank, imported, New Zealand",100 g,247,29.59 g,0.04 g,14g
"CAMPBELL'S Homestyle Microwaveable Bowls, HEALTHY REQUEST Mexican Style Tortilla",100 g,53,2.86 g,7.76 g,1g
"Lamb, fast fried, cooked, separable lean only, tenderloin, imported, New Zealand",100 g,155,27.94 g,0.00 g,4.8g
"Lamb, raw, separable lean only, square-cut shoulder chops, imported, New Zealand",100 g,164,20.62 g,0.00 g,9.1g
"Beverages, frozen concentrate, with juice and pulp, breakfast type, Orange drink",100 g,153,0.40 g,39.00 g,0g
"Yogurt, fortified with vitamin D, 11 grams protein per 8 ounce, low fat, vanilla",100 g,85,4.93 g,13.80 g,1.3g
"Bagels, with calcium propionate (includes onion, poppy, sesame), enriched, plain",100 g,264,10.56 g,52.38 g,1.3g
"Shortening, soy (partially hydrogenated ) for baking and confections, industrial",100 g,884,0.00 g,0.00 g,100g
"Infant formula, liquid concentrate, with iron, ISOMIL, SIMILAC, ABBOTT NUTRITION",100 g,128,3.13 g,13.21 g,7g
"CAMPBELL'S CHUNKY Microwavable Bowls, ready-to-serve, Chicken and Dumplings Soup",100 g,78,3.27 g,7.35 g,3.7g
"Peas, unprepared, drained solids, canned, green (includes baby and lesuer types)",100 g,68,4.47 g,11.36 g,0.8g
"Pork, raw, separable lean and fat, bone-in, blade (chops or roasts), loin, fresh",100 g,194,19.56 g,0.00 g,12g
"Bread, and rice flour, rice starch, made with potato extract, white, gluten-free",100 g,320,3.13 g,52.83 g,11g
"Beef, fast fried, cooked, separable lean only, tenderloin, imported, New Zealand",100 g,200,29.37 g,0.27 g,9g
"Infant formula, with ARA and DHA, ready-to-feed, AR LIPIL, ENFAMIL, MEAD JOHNSON",100 g,68,1.71 g,7.53 g,3.5g
"Pork, unheated, separable lean and fat, bone-in, rump, ham -- water added, cured",100 g,172,13.99 g,0.80 g,13g
"KFC, skin and breading removed, meat only, Thigh, ORIGINAL RECIPE, Fried Chicken",100 g,175,22.78 g,0.01 g,9.3g
"School Lunch, cooked, frozen, whole grain, thick crust, pepperoni topping, pizza",100 g,259,14.35 g,28.30 g,9.8g
"Beverages,  without caffeine, other than cola or pepper, low calorie, carbonated",100 g,0,0.10 g,0.00 g,0g
"Squash, without salt, solid, drained, canned, crookneck and straightneck, summer",100 g,13,0.61 g,2.96 g,0.1g
"Lamb, raw, separable lean and fat, rack - partly frenched, imported, New Zealand",100 g,240,18.12 g,0.13 g,19g
"CAMPBELL'S CHUNKY Soups, Chicken Noodle Soup, HEALTHY REQUEST Microwavable Bowls",100 g,49,2.86 g,6.94 g,1g
"Toaster Pastries, frosted (include apples, blueberry, cherry, strawberry), fruit",100 g,385,4.01 g,71.83 g,9g
"Pork, unheated, separable lean only, bone-in, rump, ham and water product, cured",100 g,107,17.93 g,1.24 g,3.4g
"Cereals ready-to-eat, USDA Commodity Rice Crisps (includes all commodity brands)",100 g,381,6.45 g,86.04 g,1.3g
"Corn, without salt, drained, boiled, kernels cut off cob, frozen, yellow, sweet",100 g,81,2.55 g,19.30 g,0.7g
"Corn, with salt, drained, boiled, cooked, kernels on cob, frozen, yellow, sweet",100 g,94,3.11 g,22.33 g,0.7g
"Cowpeas (blackeyes), with salt, drained, boiled, cooked, frozen, immature seeds",100 g,131,8.49 g,23.50 g,0.7g
"Lamb, fast fried, cooked, separable lean only, loin chop, imported, New Zealand",100 g,208,27.43 g,0.41 g,11g
"Babyfood, prepared with whole milk, with apple and orange, high protein, cereal",100 g,112,6.90 g,13.40 g,3.9g
"Pork, raw, separable lean only, bone-in, sirloin (chops or roasts), loin, fresh",100 g,129,21.65 g,0.00 g,4g
"Formulated bar, SNICKERS MARATHON Chewy Chocolate Peanut Bar, MARS SNACKFOOD US",100 g,396,24.29 g,47.24 g,13g
"Fast foods, with condiments and vegetables, regular patty, cheeseburger; double",100 g,251,12.80 g,21.20 g,13g
"Cereals ready-to-eat, cinnamon brown sugar crunch, SPECIAL K protein, KELLOGG'S",100 g,356,22.29 g,69.80 g,2.6g
"Cookies, unenriched, higher fat, regular, commercially prepared, chocolate chip",100 g,481,5.40 g,66.80 g,23g
"Infant formula, not reconstituted, powder, with iron, SIMILAC, ABBOTT NUTRITION",100 g,522,10.89 g,54.73 g,29g
"Frozen novelties, no sugar added, 98% fat free, SLIM-A-BEAR Fudge Bar, KLONDIKE",100 g,124,4.31 g,30.07 g,1.9g
"Frozen novelties, and grape POPSICLE pops, cherry, orange, sugar free, ice type",100 g,21,0.00 g,5.14 g,0g
"Beef, raw, select, trimmed to 1/8"" fat, separable lean only, steak, top sirloin",100 g,127,22.27 g,0.00 g,3.5g
"Beverages, with added nutrients, powder, chocolate-flavor beverage mix for milk",100 g,400,4.55 g,90.28 g,2.3g
"Pork, braised, cooked, separable lean only, bone-in, blade (chops), loin, fresh",100 g,222,28.02 g,0.00 g,11g
"Pork, broiled, cooked, separable lean only, bone-in, blade (chops), loin, fresh",100 g,193,24.99 g,0.00 g,9.6g
"Beverages,, 3-2-1 Plan, whey powder, high protein, SLIMFAST Shake Mix, UNILEVER",100 g,368,27.87 g,50.00 g,12g
"Lamb, raw, separable lean and fat, rack - fully frenched, imported, New Zealand",100 g,169,19.88 g,0.05 g,10g
"Fast foods, cold cut on white bread with lettuce and tomato, submarine sandwich",100 g,213,10.52 g,20.43 g,10g
"Danish pastry, unenriched (includes apple, cinnamon, raisin, strawberry), fruit",100 g,371,5.40 g,47.80 g,19g
"Babyfood, baked whole grain corn snack, LIL CRUNCHIES, GRADUATES, GERBER, Snack",100 g,503,0.00 g,61.59 g,29g
"Beef, raw, tripe uncooked, variety meats and by-products, imported, New Zealand",100 g,77,14.86 g,0.00 g,2g
"Beef, braised, cooked, separable lean only, oyster blade, imported, New Zealand",100 g,196,29.87 g,0.00 g,8.5g
"Potatoes, unprepared, frozen, salt added in processing, all types, french fried",100 g,147,2.24 g,24.81 g,4.7g
"Beverages, D2, B12, vitamins A, fortified with calcium, sweetened, coconut milk",100 g,31,0.21 g,2.92 g,2.1g
"Beef, raw, choice, trimmed to 1/8"" fat, separable lean only, steak, top sirloin",100 g,135,21.91 g,0.00 g,4.6g
"Cereals, prepared with water, with cinnamon and spice, fortified, instant, oats",100 g,96,2.37 g,18.95 g,1.2g
"Macaroni or noodles with cheese, unprepared, made from reduced fat packaged mix",100 g,297,13.10 g,52.06 g,4g
"School Lunch, cooked, frozen, whole grain, thin crust, pepperoni topping, pizza",100 g,254,12.78 g,31.24 g,8.6g
"Lamb, broiled, cooked, separable lean only, loin, frozen, imported, New Zealand",100 g,199,29.31 g,0.00 g,8.2g
"Lima beans, without salt, drained, boiled, cooked, baby, frozen, immature seeds",100 g,105,6.65 g,19.45 g,0.3g
"Soup, prepared with water or ready-to-serve, reduced sodium, canned, bean & ham",100 g,81,4.19 g,13.66 g,1g
"Baking chocolate, M&M's Semisweet Chocolate Mini Baking Bits, MARS SNACKFOOD US",100 g,517,4.44 g,65.96 g,26g
"Fast foods, with condiments and vegetables, regular patty, cheeseburger; single",100 g,254,13.06 g,24.97 g,12g
"Shortening frying (heavy duty), linoleic (less than 1%), soybean (hydrogenated)",100 g,884,0.00 g,0.00 g,100g
"Infant formula, not reconstituted, powder, with iron, PREGESTIMIL, MEAD JOHNSON",100 g,519,14.00 g,52.80 g,28g
"Gelatin desserts, prepared with water, with aspartame, reduced calorie, dry mix",100 g,20,0.83 g,4.22 g,0g
"Beef, raw, choice, trimmed to 1/8"" fat, separable lean only, flat half, brisket",100 g,129,21.69 g,0.00 g,4.1g
"Syrups, Lite Syrup, Genuine Chocolate Flavored, HERSHEY'S Sugar free, chocolate",100 g,43,2.87 g,14.20 g,2g
"Pork, raw, with added solution, separable lean and fat, tenderloin, loin, fresh",100 g,114,20.16 g,0.00 g,3.1g
"Beef, raw, select, trimmed to 1/8"" fat, separable lean only, flat half, brisket",100 g,124,21.45 g,0.00 g,3.6g
"Beef, fast fried, cooked, separable lean only, striploin, imported, New Zealand",100 g,217,28.53 g,0.00 g,11g
"Beef, raw, prime, trimmed to 1/8"" fat, separable lean and fat, top round, round",100 g,173,22.24 g,0.00 g,8.7g
"Succotash, solids and liquids, with whole kernel corn, canned, (corn and limas)",100 g,63,2.60 g,13.98 g,0.5g
"Potatoes, unprepared, frozen, salt added in processing, roasted, yellow fleshed",100 g,119,1.99 g,23.44 g,1.9g
"Beef, raw, choice, trimmed to 1/8"" fat, separable lean and fat, full cut, round",100 g,195,20.56 g,0.00 g,12g
"Beef, raw, select, trimmed to 1/8"" fat, separable lean and fat, full cut, round",100 g,184,20.56 g,0.00 g,11g
"Cake, in-store bakery, commercially prepared with chocolate frosting, chocolate",100 g,389,3.48 g,52.84 g,20g
"KFC, skin and breading removed, meat only, Wing, ORIGINAL RECIPE, Fried Chicken",100 g,216,28.65 g,1.76 g,10g
"Toaster pastries, toasted (include apple, blueberry, cherry, strawberry), fruit",100 g,409,4.70 g,72.70 g,11g
"Pork, unheated, separable lean only, boneless, whole, ham -- water added, cured",100 g,110,17.34 g,1.45 g,4g
"Yogurt, fortified with vitamin D, 10 grams protein per 8 ounce, low fat, fruit",100 g,102,4.37 g,19.05 g,1.1g
"Lamb, raw, choice, trimmed to 1/4"" fat, separable lean and fat, loin, domestic",100 g,310,16.32 g,0.00 g,27g
"Yogurt, with low-calorie sweetener, nonfat milk, flavors not chocolate, frozen",100 g,104,4.40 g,19.70 g,0.8g
"Oil, typical basis for ice cream coatings, confection fat, coconut, industrial",100 g,884,0.00 g,0.00 g,100g
"KASHI Three Cheese Ravioli with Mediterranean Tomato Sauce, unprepared, frozen",100 g,131,5.50 g,19.70 g,4.2g
"CAMPBELL'S CHUNKY Microwavable Bowls, ready-to-serve, New England Clam Chowder",100 g,82,2.45 g,6.94 g,4.9g
"Lamb, raw, choice, trimmed to 1/8"" fat, separable lean and fat, loin, domestic",100 g,279,17.18 g,0.00 g,23g
"Infant formula, not reconstituted, powder, low iron, SIMILAC, ABBOTT NUTRITION",100 g,522,10.85 g,54.78 g,29g
"Beef, raw, select, trimmed to 1/8"" fat, separable lean only, steak, tenderloin",100 g,148,22.06 g,0.00 g,5.9g
"Child formula, with iron and fiber, ready-to-feed, PEDIASURE, ABBOTT NUTRITION",100 g,99,2.80 g,11.28 g,4.7g
"Cereals, salt, prepared with water, QUAKER/MOTHER'S Oat Bran, QUAKER, Oat Bran",100 g,43,2.03 g,7.49 g,1g
"Pork, raw, separable lean only, boneless, blade (chops or roasts), loin, fresh",100 g,123,21.35 g,0.82 g,3.8g
"Pork, broiled, cooked, separable lean and fat, boneless, (chops), blade, fresh",100 g,202,24.73 g,0.83 g,11g
"Cereals ready-to-eat, KELLOGG's FROSTED MINI-WHEATS Bite Size Blueberry Muffin",100 g,352,8.60 g,84.80 g,1.6g
"Pork, braised, cooked, separable lean and fat, boneless, Leg sirloin tip roast",100 g,156,31.11 g,0.00 g,2.6g
"Chicken, original seasoning, rotisserie, cooked, skin only, broilers or fryers",100 g,406,17.66 g,0.11 g,37g
"Beef, raw, all grades, trimmed to 0"" fat, separable lean and fat, steak, flank",100 g,155,21.22 g,0.00 g,7.2g
"Cheese food, without added vitamin D, imitation, American, pasteurized process",100 g,257,4.08 g,16.18 g,20g
"Beef, raw, choice, trimmed to 1/8"" fat, separable lean and fat, top loin, loin",100 g,237,19.32 g,0.00 g,17g
"Beef, raw, select, trimmed to 1/8"" fat, separable lean and fat, top loin, loin",100 g,224,20.59 g,0.00 g,15g
"Pork, raw, separable lean only, blade (steaks), (Boston butt), shoulder, fresh",100 g,132,18.73 g,0.00 g,5.7g
"Veal, roasted, cooked, separable lean and fat, whole (arm and blade), shoulder",100 g,184,25.32 g,0.00 g,8.4g
"Veal, braised, cooked, separable lean and fat, whole (arm and blade), shoulder",100 g,228,32.06 g,0.00 g,10g
"Rolls, made with tapioca starch and brown rice flour, whole grain, gluten-free",100 g,329,11.80 g,44.29 g,12g
"Beef, raw, choice, trimmed to 1/8"" fat, separable lean only, steak, tenderloin",100 g,158,22.17 g,0.00 g,7.1g
"Cereals, prepared with water, with raisins and spice, fortified, instant, oats",100 g,88,1.98 g,17.91 g,1g
"CAMPBELL'S Homestyle Microwaveable Bowls, HEALTHY REQUEST Italian Wedding Soup",100 g,41,2.45 g,5.31 g,1g
"Chicken, braised, cooked, with added solution, meat only, drumstick, dark meat",100 g,149,22.99 g,0.00 g,6.3g
"School Lunch, cooked, frozen, whole grain, thick crust, sausage topping, pizza",100 g,257,13.26 g,30.58 g,9.1g
"KFC, skin and breading removed, meat only, Breast, EXTRA CRISPY, Fried Chicken",100 g,153,27.25 g,0.25 g,4.8g
"Lamb, raw, separable lean only, bone-in, leg chop/steak, imported, New Zealand",100 g,126,21.10 g,0.00 g,4.6g
"KEEBLER, Mini Mints Grasshopper Cookies, FUDGE SHOPPE, 100 Calorie RIGHT BITES",100 g,456,5.20 g,75.00 g,15g
"Infant formula, ready-to-feed, with iron, ALIMENTUM, SIMILAC, ABBOTT NUTRITION",100 g,66,1.80 g,6.77 g,3.6g
"Fast foods, and ranch sauce, cheese, with lettuce, grilled chicken in tortilla",100 g,222,13.77 g,18.43 g,10g
"MORNINGSTAR FARMS Breakfast Sausage Patties Maple Flavored, unprepared, frozen",100 g,222,26.30 g,13.60 g,7.2g
"Pork, braised, cooked, separable lean and fat, country-style ribs, loin, fresh",100 g,273,26.49 g,0.00 g,18g
"Corn, with salt, drained, boiled, cooked, kernels on cob, frozen, white, sweet",100 g,94,3.11 g,22.33 g,0.7g
"Corn, without salt, drained, boiled, kernels cut off cob, frozen, white, sweet",100 g,80,2.75 g,19.56 g,0.4g
"Bread, made with tapioca starch and brown rice flour, whole grain, gluten-free",100 g,309,7.25 g,49.09 g,9.3g
"Beverages, with aspartame, low calorie, dry powdered mix, fruit-flavored drink",100 g,218,0.45 g,87.38 g,0g
"Chicken, roasted, cooked, with added solution, meat only, drumstick, dark meat",100 g,146,25.34 g,0.00 g,5g
"Squash, with salt, drained, boiled, cooked, crookneck and straightneck, summer",100 g,19,1.04 g,3.79 g,0.4g
"Game meat , broiled, cooked, 1"" steak, separable lean only, top sirloin, bison",100 g,171,28.05 g,0.00 g,5.7g
"Cowpeas, canned with pork, mature seeds, common (blackeyes, crowder, southern)",100 g,83,2.74 g,16.53 g,1.6g
"Squash, without salt, drained, boiled, cooked, includes skin, zucchini, summer",100 g,15,1.14 g,2.69 g,0.4g
"Turkey from whole, roasted, cooked, with added solution, meat only, light meat",100 g,127,26.97 g,0.00 g,2.1g
"Chicken, roasted, cooked, with added solution, meat and skin, thigh, dark meat",100 g,214,23.47 g,0.09 g,14g
"Pork, unheated, separable lean only, bone-in, slice, ham -- water added, cured",100 g,95,17.38 g,1.23 g,2.3g
"Pork, unheated, separable lean only, bone-in, shank, ham -- water added, cured",100 g,91,18.65 g,0.71 g,1.9g
"Lamb, raw, choice, trimmed to 1/4"" fat, separable lean and fat, rib, domestic",100 g,372,14.52 g,0.00 g,34g
"Corn, with salt, drained, boiled, cut off cob, kernels, frozen, yellow, sweet",100 g,79,2.55 g,18.71 g,0.7g
"Lamb, braised, cooked, separable lean only, neck chops, imported, New Zealand",100 g,264,31.40 g,0.00 g,15g
"Lamb, braised, cooked, separable lean only, hind-shank, imported, New Zealand",100 g,196,32.50 g,0.00 g,7.4g
"Formulated bar, SNICKERS MARATHON Double Chocolate Nut Bar, MARS SNACKFOOD US",100 g,343,22.35 g,52.47 g,9g
"Chicken, roasted, cooked, meat only, drumstick, dark meat, broilers or fryers",100 g,155,24.24 g,0.00 g,5.7g
"Beans, rinsed in tap water, drained solids, canned, mature seeds, red, kidney",100 g,121,8.12 g,20.80 g,0.9g
"Pork, unheated, separable lean only, bone-in, rump, ham -- water added, cured",100 g,95,15.43 g,0.67 g,3.5g
"Lamb, raw, choice, trimmed to 1/8"" fat, separable lean and fat, rib, domestic",100 g,342,15.32 g,0.00 g,31g
"Pork, raw, separable lean only, bone-in, blade (chops or roasts), loin, fresh",100 g,143,21.22 g,0.00 g,5.8g
"Soup, prepared with equal volume water, low sodium, condensed, vegetable soup",100 g,33,1.10 g,6.06 g,0.5g
"Chickpeas (garbanzo beans, bengal gram), drained solids, canned, mature seeds",100 g,139,7.05 g,22.53 g,2.8g
"Cookies, enriched, higher fat, regular, commercially prepared, chocolate chip",100 g,492,5.10 g,65.36 g,25g
"Infant formula, with ARA and DHA, ready-to-feed, LIPIL, ENFAMIL, MEAD JOHNSON",100 g,66,1.38 g,6.44 g,3.5g
"Infant formula, powder not reconstituted, PM 60/40, SIMILAC, ABBOTT NUTRITION",100 g,524,11.40 g,54.94 g,29g
"Fast foods, with condiments and vegetables, large patty, cheeseburger; double",100 g,273,14.72 g,15.37 g,17g
"Milk, with added vitamin A and vitamin D, whole, commercial, fluid, chocolate",100 g,83,3.17 g,10.34 g,3.4g
"POPEYES, skin and breading removed, meat only, Drumstick, Mild, Fried Chicken",100 g,170,26.51 g,0.04 g,7.1g
"Cereals, without salt, cooked with water, regular (10 minute), CREAM OF WHEAT",100 g,50,1.44 g,10.52 g,0.2g
"Veal, not breaded, pan-fried, cooked, separable lean and fat, leg (top round)",100 g,211,31.75 g,0.00 g,8.4g
"Cake, in-store bakery, with chocolate frosting, commercially prepared, yellow",100 g,379,3.16 g,55.36 g,18g
"Beverages, fortified with vitamin C, diet, citrus, ready-to-drink, green, tea",100 g,1,0.00 g,0.31 g,0g
"Pineapple juice, diluted with 3 volume water, unsweetened, frozen concentrate",100 g,51,0.40 g,12.67 g,0g
"Rolls, and corn starch, rice starch, made with rice flour, white, gluten-free",100 g,239,3.34 g,50.47 g,2.7g
"School Lunch, cooked, frozen, whole grain, thick crust, cheese topping, pizza",100 g,254,14.62 g,28.08 g,9.3g
"School Lunch, cooked, frozen, whole grain, thin crust, sausage topping, pizza",100 g,250,12.63 g,32.24 g,7.8g
"KFC, skin and breading removed, meat only, Thigh, EXTRA CRISPY, Fried Chicken",100 g,179,22.41 g,0.00 g,10g
"Water, fruit flavored, with corn syrup and/or sugar and low calorie sweetener",100 g,18,0.00 g,4.50 g,0g
"Margarine-like, without salt, stick/tub/bottle, 60% fat, vegetable oil spread",100 g,533,0.17 g,0.86 g,60g
"Turkey, roasted, cooked, with added solution, meat only, breast, retail parts",100 g,130,27.94 g,0.00 g,2.1g
"Lamb, braised, cooked, separable lean only, fore-shank, imported, New Zealand",100 g,209,33.31 g,0.00 g,8.4g
"Alcoholic beverage, whiskey and powder mix, prepared with water, whiskey sour",100 g,164,0.10 g,15.85 g,0g
"Soup, prepared with equal volume low fat (2%) milk, canned, cream of mushroom",100 g,65,2.36 g,5.76 g,3.6g
"Split pea soup, prepared with water or ready-to serve, reduced sodium, canned",100 g,71,3.85 g,11.83 g,0.9g
"Fast foods, and ranch sauce, cheese, with lettuce, crispy chicken in tortilla",100 g,275,11.48 g,23.22 g,15g
"Fast foods, large patty; with condiments and vegetables, cheeseburger; single",100 g,206,11.59 g,16.81 g,10g
"Balsam-pear (bitter gourd), without salt, drained, boiled, cooked, leafy tips",100 g,34,3.60 g,6.68 g,0.2g
"Cereals ready-to-eat, Chocolate Squares, FIBER ONE 80 Calories, GENERAL MILLS",100 g,253,3.29 g,84.00 g,2.9g
"MORNINGSTAR FARMS Breakfast Biscuit Sausage, unprepared, frozen, Egg & Cheese",100 g,257,9.30 g,37.50 g,8.1g
"Chicken, braised, cooked, meat and skin, thigh, dark meat, broilers or fryers",100 g,229,22.57 g,0.00 g,15g
"Chicken, braised, cooked, meat only, drumstick, dark meat, broilers or fryers",100 g,149,23.93 g,0.00 g,6g
"Milk, without added vitamin A and vitamin D (fat free or skim), fluid, nonfat",100 g,34,3.37 g,4.96 g,0.1g
"Yogurt, fortified with vitamin D, 9 grams protein per 8 ounce, low fat, fruit",100 g,99,3.98 g,18.64 g,1.2g
"Veal, braised, cooked, separable lean only, cubed for stew (leg and shoulder)",100 g,188,34.94 g,0.00 g,4.3g
"Lamb, raw, separable lean and fat, square-cut shoulder, imported, New Zealand",100 g,272,16.16 g,0.24 g,23g
"Lamb, raw, separable lean only, rack - partly frenched, imported, New Zealand",100 g,160,20.65 g,0.00 g,8.6g
"Chicken, batter, fried, cooked, meat and skin, light meat, broilers or fryers",100 g,277,23.55 g,9.50 g,15g
"Lamb, raw, separable lean only, rack - fully frenched, imported, New Zealand",100 g,147,20.61 g,0.00 g,7.1g
"Infant formula, powder, LIPIL, Toddler, Soy, ENFAGROW, ENFAMIL, MEAD JOHNSON",100 g,470,15.70 g,56.00 g,21g
"Cereals ready-to-eat, touch of brown sugar, SPECIAL K gluten free, KELLOGG'S",100 g,369,6.09 g,86.50 g,2.5g
"Lima beans, with salt, drained, boiled, cooked, baby, frozen, immature seeds",100 g,105,6.65 g,19.45 g,0.3g
"Fast Food, regular crust, meat and vegetable topping, 14"" pizza, Pizza Chain",100 g,244,11.02 g,25.38 g,11g
"Margarine, with added vitamin D, with salt, tub, composite, 80% fat, regular",100 g,713,0.22 g,0.75 g,80g
"Pork, raw, separable lean and fat, bone-in, center loin (chops), loin, fresh",100 g,170,20.71 g,0.00 g,9g
"Beef, raw, choice, trimmed to 1/4"" fat, separable lean only, shank crosscuts",100 g,128,21.75 g,0.00 g,3.9g
"Chicken, heated (conventional oven), barbecue flavored, glazed, frozen, wing",100 g,242,22.24 g,3.36 g,15g
"Beans, without salt, drained, boiled, cooked, sprouted, mature seeds, kidney",100 g,33,4.83 g,4.72 g,0.6g
"Beverage, not reconstituted, sugar-free, chocolate, instant breakfast powder",100 g,358,35.80 g,41.00 g,5.1g
"Beef, raw, Aust. marble score 4/5, external fat, Wagyu, imported, Australian",100 g,596,6.54 g,0.00 g,63g
"Fast foods, regular patty; with condiments and vegetables, hamburger; single",100 g,254,11.74 g,24.81 g,12g
